City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Tiksi,RU,71.6872,128.8694,-0.17,99,94,3.24,overcast clouds
216,Garut,ID,-7.2024,107.8878,80.58,66,66,4.07,broken clouds
217,Nemuro,JP,43.3236,145.575,61.23,68,0,7.56,clear sky
218,Shingu,JP,33.7333,135.9833,59.99,94,100,8.01,moderate rain
219,Cidreira,BR,-30.1811,-50.2056,59.22,70,0,4.34,clear sky
220,Karratha,AU,-20.7377,116.8463,92.93,22,0,12.28,clear sky
221,Cabra,ES,37.4725,-4.4421,56.89,65,70,2.84,broken clouds
222,Vila Do Maio,CV,15.1333,-23.2167,77.79,75,32,14.5,scattered clouds
223,Quatre Cocos,MU,-20.2078,57.7625,76.08,73,72,14.88,broken clouds
224,Mecca,SA,21.4267,39.8261,77.31,63,0,1.86,clear sky
225,Kota Bahru,MY,6.1333,102.2386,84.15,83,40,5.01,scattered clouds
226,Kenai,US,60.5544,-151.2583,44.65,83,1,3.44,clear sky
227,Sao Filipe,CV,14.8961,-24.4956,77.5,70,61,7.38,broken clouds
228,Sidi Ali,DZ,36.0998,0.4206,59.16,64,1,5.55,clear sky
229,Jaora,IN,23.6333,75.1333,73.99,61,0,3.65,clear sky
230,Conceicao Do Araguaia,BR,-8.2578,-49.2647,78.46,78,100,4.27,overcast clouds
231,Bambous Virieux,MU,-20.3428,57.7575,76.21,83,40,11.5,scattered clouds
232,Changji,CN,44.0167,87.3167,45.39,42,0,2.24,clear sky
233,Berezanka,UA,46.8526,31.388,43.21,66,22,6.73,few clouds
234,Sabha,LY,27.0377,14.4283,72.57,36,30,9.73,scattered clouds
235,Boda,CF,4.3189,17.4695,70.57,95,99,0.34,overcast clouds
236,Tasiilaq,GL,65.6145,-37.6368,30.36,85,100,49.3,light snow
237,Flinders,AU,-34.5833,150.8552,71.8,55,8,10.71,clear sky
238,Adre,TD,13.4667,22.2,75.81,28,27,12.95,scattered clouds
239,Honggang,CN,46.4667,124.8667,54.41,32,24,12.53,few clouds
240,Milkovo,RU,54.7167,158.6167,36.64,65,23,5.59,few clouds
241,Qujing,CN,25.4833,103.7833,59.18,80,92,8.99,overcast clouds
242,Clyde River,CA,70.4692,-68.5914,17.83,67,90,6.91,overcast clouds
243,Davila,PH,18.4726,120.5763,85.98,68,13,8.28,few clouds
244,Kota Kinabalu,MY,5.9749,116.0724,87.78,74,20,5.75,few clouds
245,Matara,LK,5.9485,80.5353,82.35,75,93,5.5,overcast clouds
246,Olafsvik,IS,64.8945,-23.7142,41.83,87,100,24.02,light rain
247,Umm Kaddadah,SD,13.6017,26.6876,79.68,24,6,17.87,clear sky
248,Havelock,US,34.8791,-76.9013,73.92,91,100,6.2,overcast clouds
249,Broome,US,42.2506,-75.833,51.01,87,90,1.99,light rain
250,Korla,CN,41.7597,86.1469,49.35,34,0,4.47,clear sky
251,Moa,CU,20.6569,-74.9403,79.25,85,63,9.51,broken clouds
252,Pumiao,CN,22.75,108.4833,70.2,50,11,7.49,light rain
253,Palembang,ID,-2.9167,104.7458,86.09,70,75,3.44,broken clouds
254,Uvalde,US,29.3669,-99.767,79.52,53,1,6.91,clear sky
255,Yeppoon,AU,-23.1333,150.7333,92.98,62,98,13.67,light rain
256,Russell,US,32.3502,-85.1999,70.88,87,90,0.0,overcast clouds
257,Victoria,HK,22.2855,114.1577,75.04,72,98,3.0,overcast clouds
258,Hit,IQ,33.6416,42.8251,66.42,32,0,5.7,clear sky
259,Cayenne,GF,4.9333,-52.3333,78.1,92,75,3.0,light rain
260,Srivardhan,IN,18.0333,73.0167,76.89,78,4,5.82,clear sky
261,Akyab,MM,20.15,92.9,80.67,70,47,4.38,scattered clouds
262,Lianran,CN,24.9227,102.485,57.74,88,100,3.42,overcast clouds
263,Gigmoto,PH,13.7796,124.39,84.22,74,91,4.07,overcast clouds
264,Ozinki,RU,51.1786,49.6769,38.86,72,100,8.32,overcast clouds
265,Ukiah,US,39.1502,-123.2078,56.12,94,90,0.0,overcast clouds
266,Brisenas,MX,20.2667,-102.5667,63.28,88,100,2.71,overcast clouds
267,Richards Bay,ZA,-28.783,32.0377,63.28,69,91,1.83,overcast clouds
268,Madang,PG,-5.2246,145.7966,86.34,61,96,5.61,overcast clouds
269,Pochinki,RU,54.6988,44.8668,31.73,88,100,15.88,overcast clouds
270,Manokwari,ID,-0.8667,134.0833,83.07,67,100,5.75,light rain
271,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,1.14,clear sky
272,Mahdalynivka,UA,48.921,34.9156,39.76,82,15,6.93,few clouds
273,Calama,CL,-22.4667,-68.9333,50.2,14,0,5.26,clear sky
274,Kaitangata,NZ,-46.2817,169.8464,58.68,74,77,8.12,moderate rain
275,Tamale,GH,9.4008,-0.8393,75.7,84,43,3.85,scattered clouds
276,Hobyo,SO,5.3505,48.5268,80.2,72,100,10.0,overcast clouds
277,Westbrook,US,43.677,-70.3712,46.76,78,75,0.0,broken clouds
278,Torbay,CA,47.6666,-52.7314,53.58,85,75,26.46,very heavy rain
279,Pisco,PE,-13.7,-76.2167,61.02,82,2,13.8,clear sky
280,Port Lincoln,AU,-34.7333,135.8667,60.49,60,1,12.37,clear sky
281,Requena,ES,39.4883,-1.1004,50.7,65,0,2.44,clear sky
