City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Camacha,PT,2021-10-20 22:26:15,33.0833,-16.3333,70.56,83,20,10.36
121,Lompoc,US,2021-10-20 22:26:16,34.6391,-120.4579,77.09,57,1,16.11
122,Ilulissat,GL,2021-10-20 22:24:17,69.2167,-51.1,28.42,64,20,2.3
123,Hasaki,JP,2021-10-20 22:22:33,35.7333,140.8333,52.2,54,99,14.63
124,Mandalgovi,MN,2021-10-20 22:26:17,45.7625,106.2708,28.58,55,0,4.43
125,Broken Hill,AU,2021-10-20 22:26:17,-31.95,141.4333,73.11,16,40,14.97
126,Thinadhoo,MV,2021-10-20 22:26:18,0.5333,72.9333,81.5,76,65,9.93
127,Ocos,GT,2021-10-20 22:26:18,14.5094,-92.1933,86.5,82,98,8.16
128,Teya,RU,2021-10-20 22:22:10,60.3778,92.6267,34.95,86,47,5.06
129,Saskylakh,RU,2021-10-20 22:26:19,71.9167,114.0833,8.55,99,99,5.41
130,Yokadouma,CM,2021-10-20 22:26:20,3.5167,15.05,68.76,98,100,1.39
131,Vila Franca Do Campo,PT,2021-10-20 22:26:20,37.7167,-25.4333,63.01,73,60,2.24
132,Matara,LK,2021-10-20 22:26:21,5.9485,80.5353,76.68,89,93,5.26
133,Wewak,PG,2021-10-20 22:26:22,-3.5534,143.6268,79.03,85,100,3.98
134,Vardo,NO,2021-10-20 22:26:22,70.3705,31.1107,34.99,64,100,25.34
135,Broome,US,2021-10-20 22:26:23,42.2506,-75.833,65.53,64,56,4.05
136,Yibin,CN,2021-10-20 22:26:24,28.7667,104.6238,57.09,92,100,1.9
137,Paita,PE,2021-10-20 22:26:24,-5.0892,-81.1144,68.56,81,64,16.82
138,Chizhou,CN,2021-10-20 22:26:25,30.6578,117.4831,49.46,93,100,3.6
139,Luangwa,ZM,2021-10-20 22:26:25,-15.6167,30.4167,73.33,62,14,10.0
140,Hovd,MN,2021-10-20 22:26:26,48.0056,91.6419,31.51,49,0,1.79
141,Touros,BR,2021-10-20 22:26:27,-5.1989,-35.4608,81.5,82,100,11.72
142,Chapais,CA,2021-10-20 22:26:28,49.7834,-74.8492,38.98,97,100,7.67
143,Sabang,ID,2021-10-20 22:26:30,5.8933,95.3214,81.19,71,100,1.52
144,Bacolod,PH,2021-10-20 22:22:00,10.6667,122.95,78.01,88,62,5.37
145,Mecca,SA,2021-10-20 22:26:31,21.4267,39.8261,82.56,51,1,2.95
146,Tingo Maria,PE,2021-10-20 22:26:32,-9.2895,-76.0088,80.87,66,41,1.92
147,Saint-Joseph,RE,2021-10-20 22:26:32,-21.3667,55.6167,70.18,77,31,8.93
148,Poum,NC,2021-10-20 22:26:33,-20.2333,164.0167,69.49,88,100,7.02
149,Mirandopolis,BR,2021-10-20 22:26:34,-21.1336,-51.1017,71.62,58,0,9.46
150,Okmulgee,US,2021-10-20 22:26:36,35.6234,-95.9605,73.87,64,90,4.61
151,Daru,PG,2021-10-20 22:26:37,-9.0763,143.2092,81.9,71,98,6.64
152,Las Tunas,CU,2021-10-20 22:26:37,20.9617,-76.9511,84.33,78,57,11.92
153,Noyabrsk,RU,2021-10-20 22:26:38,63.1994,75.4507,33.94,78,100,6.2
154,Mount Gambier,AU,2021-10-20 22:21:45,-37.8333,140.7667,60.75,63,59,6.29
155,Salinas,US,2021-10-20 22:26:39,36.6777,-121.6555,70.99,70,90,11.5
